Date,Daily Total Vaccination
1/13/2021,119
1/14/2021,"247,267"
1/15/2021,"372,109"
1/16/2021,"58,968"
1/17/2021,"25,436"
1/18/2021,"105,714"
1/19/2021,"142,209"
1/20/2021,"101,463"
1/21/2021,"74,593"
1/22/2021,"74,593"
1/23/2021,"21,869"
1/24/2021,"21,869"
1/25/2021,"56,760"
1/26/2021,"107,426"
1/27/2021,"112,679"
1/28/2021,"174,936"
1/29/2021,"230,534"
1/30/2021,"32,416"
1/31/2021,"25,281"
2/1/2021,"151,337"
2/2/2021,"145,178"
2/3/2021,"117,790"
2/4/2021,"100,306"
2/5/2021,"89,215"
2/6/2021,"14,408"
2/7/2021,"8,268"
2/8/2021,"81,617"
2/9/2021,"65,621"
2/10/2021,"50,952"
2/11/2021,"79,868"
2/12/2021,"551,456"
2/13/2021,"166,078"
2/14/2021,"119,273"
2/15/2021,"686,570"
2/16/2021,"586,282"
2/17/2021,"525,038"
2/18/2021,"450,842"
2/19/2021,"357,096"
2/20/2021,"48,162"
2/21/2021,"29,920"
2/22/2021,"485,538"
2/23/2021,"374,816"
2/24/2021,"324,974"
2/25/2021,"323,153"
2/26/2021,"372,303"
2/27/2021,"64,862"
2/28/2021,"42,981"
3/1/2021,"320,265"
3/2/2021,"284,529"
3/3/2021,"248,898"
3/4/2021,"223,523"
3/5/2021,"214,825"
3/6/2021,"33,537"
3/7/2021,"16,839"
3/8/2021,"200,646"
3/9/2021,"158,749"
3/10/2021,"133,135"
3/11/2021,"144,209"
3/12/2021,"312,447"
3/13/2021,"90,343"
3/14/2021,"73,320"
3/15/2021,"472,995"
3/16/2021,"445,796"
3/17/2021,"401,437"
3/18/2021,"352,663"
3/19/2021,"312,703"
3/20/2021,"31,078"
3/21/2021,"15,123"
3/22/2021,"423,304"
3/23/2021,"342,852"
3/24/2021,"299,650"
3/25/2021,"261,743"
3/26/2021,"258,991"
3/27/2021,0
3/28/2021,"62,750"
3/29/2021,"489,535"
3/30/2021,"463,062"
3/31/2021,"371,790"
4/1/2021,"271,543"
4/2/2021,"283,070"
4/3/2021,"74,487"
4/4/2021,"129,274"
4/5/2021,"406,451"
4/6/2021,"459,365"
4/7/2021,"303,478"
4/8/2021,"239,674"
4/9/2021,"221,910"
4/10/2021,"52,569"
4/11/2021,"34,271"
4/12/2021,"443,712"
4/13/2021,"230,598"
4/14/2021,"167,236"
4/15/2021,"355,743"
4/16/2021,"210,786"
4/17/2021,"39,954"
4/18/2021,"23,986"
4/19/2021,"210,347"
4/20/2021,"222,782"
4/21/2021,"204,888"
4/22/2021,"216,882"
4/23/2021,"143,436"
4/24/2021,"114,255"
4/25/2021,"93,929"
4/26/2021,"369,601"
4/27/2021,"396,534"
4/28/2021,"360,319"
4/29/2021,"285,855"
4/30/2021,"254,830"
5/1/2021,"98,569"
5/2/2021,"119,626"
5/3/2021,"456,346"
5/4/2021,"411,401"
5/5/2021,"331,321"
5/6/2021,"292,279"
5/7/2021,"251,581"
5/8/2021,"74,518"
5/9/2021,"50,092"
5/10/2021,"203,286"
5/11/2021,"143,846"
5/12/2021,"81,532"
5/13/2021,"127,543"
5/14/2021,"142,777"
5/15/2021,"87,525"
5/16/2021,"66,472"
5/17/2021,"433,673"
5/18/2021,"509,646"
5/19/2021,"194,814"
5/20/2021,"367,207"
5/21/2021,"344,409"
5/22/2021,"124,442"
5/23/2021,"94,987"
5/24/2021,"210,087"
5/25/2021,"167,102"
5/26/2021,"151,827"
5/27/2021,"140,462"
5/28/2021,"147,458"
5/29/2021,"81,616"
5/30/2021,"62,674"
5/31/2021,"243,541"
6/1/2021,"181,467"
6/2/2021,"281,507"
6/3/2021,"291,549"
6/4/2021,"362,141"
6/5/2021,"295,987"
6/6/2021,"242,294"
6/7/2021,"387,144"
6/8/2021,"338,764"
6/9/2021,"346,310"
6/10/2021,"476,753"
6/11/2021,"594,710"
6/12/2021,"452,784"
6/13/2021,"456,118"
6/14/2021,"841,183"
6/15/2021,"1,238,007"
6/16/2021,"1,419,040"
6/17/2021,"1,582,633"
6/18/2021,"1,538,471"
6/19/2021,"620,320"
6/20/2021,"566,459"
6/21/2021,"1,195,338"
6/22/2021,"964,380"
